id,namespace,artifact,behavior,target,proof,phase,redline,status,disposition
COMP-ui-AdminUI-packages/ui/src/components/admin/AdminUI.tsx,components,packages/ui/src/components/admin/AdminUI.tsx:1,,,,,0,MAPPED,
COMP-ui-AnimatedCheck-packages/ui/src/components/molecules/AnimatedCheck.tsx,components,packages/ui/src/components/molecules/AnimatedCheck.tsx:1,,,,,0,MAPPED,
COMP-ui-AnimatedNumber-packages/ui/src/components/molecules/AnimatedNumber.tsx,components,packages/ui/src/components/molecules/AnimatedNumber.tsx:1,,,,,0,MAPPED,
COMP-ui-Base-packages/ui/src/components/Base.tsx,components,packages/ui/src/components/Base.tsx:1,,,,,0,MAPPED,
COMP-ui-BottomTabBar-packages/ui/src/components/molecules/BottomTabBar.tsx,components,packages/ui/src/components/molecules/BottomTabBar.tsx:1,,,,,0,MAPPED,
COMP-ui-ClientUI-packages/ui/src/components/client/ClientUI.tsx,components,packages/ui/src/components/client/ClientUI.tsx:1,,,,,0,MAPPED,
COMP-ui-ColorInput-packages/ui/src/components/admin/ColorInput.tsx,components,packages/ui/src/components/admin/ColorInput.tsx:1,,,,,0,MAPPED,
COMP-ui-CommandPalette-packages/ui/src/components/organisms/CommandPalette.tsx,components,packages/ui/src/components/organisms/CommandPalette.tsx:1,,,,,0,MAPPED,
COMP-ui-ConfirmDialog-packages/ui/src/components/molecules/ConfirmDialog.tsx,components,packages/ui/src/components/molecules/ConfirmDialog.tsx:1,,,,,0,MAPPED,
COMP-ui-CourierLiveMap-packages/ui/src/components/molecules/CourierLiveMap.tsx,components,packages/ui/src/components/molecules/CourierLiveMap.tsx:1,,,,,0,MAPPED,
COMP-ui-CourierUI-packages/ui/src/components/courier/CourierUI.tsx,components,packages/ui/src/components/courier/CourierUI.tsx:1,,,,,0,MAPPED,
COMP-ui-CurrencyProvider-packages/ui/src/lib/CurrencyProvider.tsx,components,packages/ui/src/lib/CurrencyProvider.tsx:1,,,,,0,MAPPED,
COMP-ui-CurrencySwitcher-packages/ui/src/components/atoms/CurrencySwitcher.tsx,components,packages/ui/src/components/atoms/CurrencySwitcher.tsx:1,,,,,0,MAPPED,
COMP-ui-ErrorBoundary-packages/ui/src/components/ErrorBoundary.tsx,components,packages/ui/src/components/ErrorBoundary.tsx:1,,,,,0,MAPPED,
COMP-ui-I18nProvider-packages/ui/src/lib/I18nProvider.tsx,components,packages/ui/src/lib/I18nProvider.tsx:1,,,,,0,MAPPED,
COMP-ui-LiveDot-packages/ui/src/components/molecules/LiveDot.tsx,components,packages/ui/src/components/molecules/LiveDot.tsx:1,,,,,0,MAPPED,
COMP-ui-MapLibreBase-packages/ui/src/components/molecules/MapLibreBase.tsx,components,packages/ui/src/components/molecules/MapLibreBase.tsx:1,,,,,0,MAPPED,
COMP-ui-MapWithPin-packages/ui/src/components/molecules/MapWithPin.tsx,components,packages/ui/src/components/molecules/MapWithPin.tsx:1,,,,,0,MAPPED,
